[12-03 17:18:17]recieved kill acctid:[1004] command(not in play list)!
[12-03 17:18:29](25.80.52.210):[eusouadm]login failed, error:1105
[12-03 17:18:37](25.80.52.210):[eusouadm]login success, 	 nline/total:1/0
[12-03 17:19:58](25.80.52.210):[eusouadm]logout,	 online/total:0/0
[12-03 17:23:57](25.80.52.210):[eusouadm]login success, 	 nline/total:1/0
[12-03 17:24:04](25.80.52.210):[eusouadmadaasas1/0
[12-03 17:25:31](25.80.52.210):[eusouadm]select char[Killer171]begin paly...��	 online/total:1/0
[12-03 17:25:31](25.80.52.210):[eusouadm] char [Killer171]entry map server begin play...��	 online/total:1/1
[12-03 17:35:45](25.80.52.210):[eusouadm]logout,	 online/total:0/0
[12-03 17:36:13](25.80.52.210):[eusouadm]login success, 	 nline/total:1/0
[12-03 17:36:14](25.80.52.210):[eusouadm]select char[Killer171]begin paly...��	 online/total:1/0
[12-03 17:36:14](25.80.52.210):[eusouadm] char [Killer171]entry map server begin play...��	 online/total:1/1
